onset;duration;period;division;bar;beat;tatum;beat_duration;signature;pitch;phrase_id;phrase_begin;chorus_id;chord;form
64.0783673469;0.168344671202;4;1;32;1;1;0.447256235828;"""4/4""";68;13;0;1;Eb-7;A3
64.8185034014;0.127709750567;4;4;32;2;4;0.457188208617;"""4/4""";73;13;0;1;Eb-7;A3
64.9868480726;0.168344671202;4;4;32;3;2;0.456780045351;"""4/4""";72;13;0;1;Ab7;A3
65.2596825397;0.107392290249;4;4;32;3;4;0.456780045351;"""4/4""";70;13;0;1;Ab7;A3
65.3786848073;0.139319727891;4;1;32;4;1;0.431995464853;"""4/4""";68;13;0;1;Ab7;A3
66.2087981859;0.0522448979592;4;6;33;1;6;0.468526077097;"""4/4""";64;14;1;1;Dbj7;A3
66.2784580499;0.432471655329;4;1;33;2;1;0.465306122449;"""4/4""";65;14;0;1;Dbj7;A3
66.7675283447;0.333786848073;4;1;33;3;1;0.466326530612;"""4/4""";63;14;0;1;Dbj7;A3
67.1796825397;0.377324263039;4;1;33;4;1;0.465691609977;"""4/4""";60;14;0;1;Dbj7;A3
67.6745578231;0.612426303855;4;1;34;1;1;0.437437641723;"""4/4""";56;14;0;1;Bb-79;A3
69.3115646259;0.104489795918;4;2;34;4;2;0.466780045351;"""4/4""";65;15;1;1;Eb7;A3
69.4871655329;0.0986848072562;4;3;35;1;1;0.457029478458;"""4/4""";63;15;0;1;Ab6;A3
69.8107936508;0.0783673469388;4;3;35;1;3;0.457029478458;"""4/4""";60;15;0;1;Ab6;A3
69.9457596372;0.232199546485;4;1;35;2;1;0.466507936508;"""4/4""";56;15;0;1;Ab6;A3
70.4043537415;0.345396825397;4;1;35;3;1;0.431020408163;"""4/4""";56;15;0;1;Ab6;A3
70.8744897959;0.235102040816;4;3;35;4;1;0.46566893424;"""4/4""";56;15;0;1;Ab6;A3
71.1826530612;0.684988662132;4;3;35;4;3;0.46566893424;"""4/4""";56;15;0;1;Ab6;A3
72.9658049887;0.113197278912;4;2;36;4;2;0.451247165533;"""4/4""";60;16;1;1;C7;A3
73.1145578231;0.153832199546;4;3;37;1;1;0.44716553288;"""4/4""";65;16;0;2;F-;A1
73.2778231293;0.0783673469388;4;3;37;1;2;0.44716553288;"""4/4""";67;16;0;2;F-;A1
73.380861678;0.11029478458;4;3;37;1;3;0.44716553288;"""4/4""";68;16;0;2;F-;A1
73.5666213152;0.0986848072562;4;3;37;2;1;0.456916099773;"""4/4""";68;16;0;2;F-;A1
73.6965079365;0.124807256236;4;3;37;2;2;0.456916099773;"""4/4""";67;16;0;2;F-;A1
73.8409070295;0.130612244898;4;3;37;2;3;0.456916099773;"""4/4""";65;16;0;2;F-;A1
74.0186848073;0.133514739229;4;3;37;3;1;0.444217687075;"""4/4""";65;16;0;2;F-;A1
74.1543764172;0.113922902494;4;3;37;3;2;0.444217687075;"""4/4""";67;16;0;2;F-;A1
74.2900680272;0.130612244898;4;3;37;3;3;0.444217687075;"""4/4""";68;16;0;2;F-;A1
74.4816326531;0.127709750567;4;3;37;4;1;0.464240362812;"""4/4""";68;16;0;2;F-;A1
74.6144217687;0.109569160998;4;3;37;4;2;0.464240362812;"""4/4""";67;16;0;2;F-;A1
74.7450340136;0.133514739229;4;3;37;4;3;0.464240362812;"""4/4""";65;16;0;2;F-;A1
74.9017687075;0.595011337868;4;1;38;1;1;0.436530612245;"""4/4""";64;16;0;2;F-;A1
75.5489795918;0.11029478458;4;3;38;2;2;0.470657596372;"""4/4""";64;16;0;2;F-j7;A1
75.6959183673;0.0783673469388;4;3;38;2;3;0.470657596372;"""4/4""";65;16;0;2;F-j7;A1
75.8247619048;0.185759637188;4;1;38;3;1;0.472698412698;"""4/4""";67;16;0;2;F-j7;A1
76.2920634921;0.0957823129252;4;3;38;4;1;0.43746031746;"""4/4""";67;16;0;2;F-j7;A1
76.43138322;0.11029478458;4;3;38;4;2;0.43746031746;"""4/4""";65;16;0;2;F-j7;A1
76.5678004535;0.121904761905;4;3;38;4;3;0.43746031746;"""4/4""";64;16;0;2;F-j7;A1
76.7245351474;0.534058956916;4;1;39;1;1;0.441655328798;"""4/4""";63;16;0;2;F-7;A1
77.3239002268;0.119002267574;4;3;39;2;2;0.447029478458;"""4/4""";65;16;0;2;F-7;A1
77.4617687075;0.104489795918;4;3;39;2;3;0.447029478458;"""4/4""";67;16;0;2;F-7;A1
77.589478458;0.119002267574;4;3;39;3;1;0.441609977324;"""4/4""";67;16;0;2;F-7;A1
77.7428117914;0.122721088435;4;3;39;3;2;0.441609977324;"""4/4""";65;16;0;2;F-7;A1
77.9058503401;0.139319727891;4;3;39;3;3;0.441609977324;"""4/4""";63;16;0;2;F-7;A1
78.0979591837;0.27283446712;4;1;39;4;1;0.446213151927;"""4/4""";63;16;0;2;F-7;A1
78.5473015873;0.51664399093;4;1;40;1;1;0.441768707483;"""4/4""";62;16;0;2;F-6;A1
79.1336054422;0.0986848072562;4;3;40;2;2;0.447029478458;"""4/4""";63;16;0;2;F-6;A1
79.2700226757;0.113197278912;4;3;40;2;3;0.447029478458;"""4/4""";65;16;0;2;F-6;A1
79.4296598639;0.124807256236;4;1;40;3;1;0.467006802721;"""4/4""";65;16;0;2;F-6;A1
80.3510204082;0.0696598639456;4;3;41;1;1;0.44693877551;"""4/4""";58;17;1;2;Dbj7;A1
80.4658503401;0.0841723356009;4;3;41;1;2;0.44693877551;"""4/4""";60;17;0;2;Dbj7;A1
80.5819501134;0.113197278912;4;3;41;1;3;0.44693877551;"""4/4""";61;17;0;2;Dbj7;A1
80.7299773243;0.255419501134;4;4;41;2;1;0.430612244898;"""4/4""";61;17;0;2;Dbj7;A1
81.0724716553;1.00136054422;4;4;41;2;4;0.430612244898;"""4/4""";61;17;0;2;Dbj7;A1
83.0663265306;0.107392290249;4;3;42;3;1;0.437482993197;"""4/4""";58;18;1;2;Bb-7;A1
83.2275736961;0.0962811791383;4;3;42;3;2;0.437482993197;"""4/4""";60;18;0;2;Bb-7;A1
83.3346031746;0.138684807256;4;3;42;3;3;0.437482993197;"""4/4""";61;18;0;2;Bb-7;A1
83.5033106576;0.139319727891;4;4;42;4;1;0.452698412698;"""4/4""";60;18;0;2;Bb-7;A1
